headword,headword_clean,homonym,grammar,translation,source,raw
АВА́,АВА́,,,РАЗУЛ 1. род. п . от ава́ рал 2. аварский,Саидова 2019 — Андалальский диалект,РАЗУЛ 1. род. п . от ава́ рал 2. аварский; см. ава́ р
АВА́,АВА́,,,"РА/Л (-з, -зул) аварцы",Саидова 2019 — Андалальский диалект,"РА/Л (-з, -зул) аварцы; см. маарулал"
АВАРИСТА́,АВАРИСТА́,,,"Н (-алълъ, -алълъул) Авария, земля аварская",Саидова 2019 — Андалальский диалект,"Н (-алълъ, -алълъул) Авария, земля аварская"
АВАРИ(Я),АВАРИ(Я),,"(-лълъ, -лълъул, -би)",авария,Саидова 2019 — Андалальский диалект,"(-лълъ, -лълъул, -би) авария; нухIела авари ккана на дороге произошла авария; авариялълъа ккеде попасть в аварию; машиналълъ авари гьубуна машина сделала аварию А́ ВГИ (а́ ссги, ассу́ лги, а́ лги) мест. указ. он тоже, и он; авги ваче цадах и его тоже заберите с собой; авги вигьана чIорого квералгин и он явился с пустыми руками; мунги авги гIагарал чи руго ты и он – родственники"
АВГО,АВГО,,,мест. указ. этот же (человек),Саидова 2019 — Андалальский диалект,"мест. указ. этот же (человек); авго чи вигьун вуана сонги этот же человек приходил и вчера А́ ВГУСТ (-алълъ, -алълъул) август; анцIабилаб август десятое августа; августалълъа жеги багIалун буама в августе еще бывает жарко; августалълъа маарух ххер хвама в августе в горах косят сено А́ ВГУСТАЛЪЛЪУЛ 1. род.п. от а́ вгуст 2. августовский; августалълъул къо августовский день; августалълъул совещание августовское совещание (учителей)"
АВЛА́,АВЛА́,,,"Х (-алълъ, -алълъул, -ал) равнина, ровное место; степь; салул авлах песчаная равнина; авлахалълъа нухI мекъи ккана нежер мы заблудились в степи; авлахалълъул чи житель степи; гIи авлахалълъа кунав буго отара пасется в степи; нижер гъутаби гьарагIазул авлахазда руго наши кутаны (прикутанные хозяйства) находятся в кумыкских степях;",Саидова 2019 — Андалальский диалект,"Х (-алълъ, -алълъул, -ал) равнина, ровное место; степь; салул авлах песчаная равнина; авлахалълъа нухI мекъи ккана нежер мы заблудились в степи; авлахалълъул чи житель степи; гIи авлахалълъа кунав буго отара пасется в степи; нижер гъутаби гьарагIазул авлахазда руго наши кутаны (прикутанные хозяйства) находятся в кумыкских степях; суг. гьара́ гI поляна, авлах равнина; кег., сал. авла́ хъ, кд. гIавла́ х"
АВЛА́,АВЛА́,,,"ХАЛЪЛЪУЛ 1. род.п. от авлах 2. равнинный, степной",Саидова 2019 — Андалальский диалект,"ХАЛЪЛЪУЛ 1. род.п. от авлах 2. равнинный, степной; авлахалълъул бакI равнинная местность; авлахалълъул гьури степной ветер А́ ВНИ (а́ ссни, ассу́ лни, а́ лни) мест. указ. что касается его, что касается этого человека; авни дида ццевего гьама его-то я давно знаю; авни лъикко висандама он-то хорошо танцует"
АВСУ́,АВСУ́,,,"Л (-алълъ, -алълъул) вет. ящур А́ ВТАБИАГРАПИЯ (-лълъ, -лълъул, -би) автобиография",Саидова 2019 — Андалальский диалект,"Л (-алълъ, -алълъул) вет. ящур А́ ВТАБИАГРАПИЯ (-лълъ, -лълъул, -би) автобиография; автабиаграпия хваде написать автобиографию"
АВТАМАБИ́Л,АВТАМАБИ́Л,,"(-алълъ, -алълъул, -ал)",автомобиль,Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул, -ал) автомобиль; автамабилалълъул нухI автомобильная дорога; автамабилалълъа ад рекIенде сесть на автомобиль; автамабилаз баччде возить на автомобилях"
АВТАРУ́,АВТАРУ́,,,"ЧКА (-д, -дул, -би) авторучка",Саидова 2019 — Андалальский диалект,"ЧКА (-д, -дул, -би) авторучка; автаручкад хваде писать авторучкой; автаручка босде взять (купить) авторучку; автаручкадул пиру перо авторучки"
АГАРО́,АГАРО́,,,"Д (-алълъ, -алълъул, -ал) огород",Саидова 2019 — Андалальский диалект,"Д (-алълъ, -алълъул, -ал) огород; агародалълъа бекьде сажать в огороде; агарод лълъалгьаде полить огород; агародалълъасса // агародасса гIемер памидор бакIарана из огорода собрали много помидоров"
АГРАНО́,АГРАНО́,,,"М (-асс //-алълъ, -ассул //-алълъул, -ал) агроном",Саидова 2019 — Андалальский диалект,"М (-асс //-алълъ, -ассул //-алълъул, -ал) агроном; кIудав аграном старший агроном"
АГРАНО́,АГРАНО́,,,"МЛИ (-ялълъ, -ялълъул) агроном",Саидова 2019 — Андалальский диалект,"МЛИ (-ялълъ, -ялълъул) агроном; занятие агронома; аграномли гьубуде работать агрономом"
АГУ́,АГУ́,,,"ЛА/В (-сс, -ссул) агулец",Саидова 2019 — Андалальский диалект,"ЛА/В (-сс, -ссул) агулец"
АГУ́,АГУ́,,,ЛАЗУЛ 1. род.п. от агу́ лал 2. агульский,Саидова 2019 — Андалальский диалект,ЛАЗУЛ 1. род.п. от агу́ лал 2. агульский; агулазул мацIцI агульский язык
АГУ́,АГУ́,,,"ЛА/Й (-лълъ, -лълъул) агулка",Саидова 2019 — Андалальский диалект,"ЛА/Й (-лълъ, -лълъул) агулка"
АГУ́,АГУ́,,,"ЛА/Л (-з, -зул) агулы",Саидова 2019 — Андалальский диалект,"ЛА/Л (-з, -зул) агулы"
АГЪ,АГЪ,,"(-алълъ, -алълъул)","сила, мощь; агъ бекде утратить силу; гьорол агъ бекун буго порывы ветра ослабли; чорхол агъ бекун буго тело утратило силу;",Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул) сила, мощь; агъ бекде утратить силу; гьорол агъ бекун буго порывы ветра ослабли; чорхол агъ бекун буго тело утратило силу; суг. аргъ А́ ГЪАБ1 придурковатый; глупый; несовершенный; дагьав агъав вуго идав он немножко придурковатый; агъав чиссух махссара гьубуго не шути с придурком А́ ГЪАБ2 искалеченный; неполноценный; агъаб квер неполноценная рука, искалеченная рука"
АГЪА́,АГЪА́,,,"З (-алълъ, -алълъул) заботы",Саидова 2019 — Андалальский диалект,"З (-алълъ, -алълъул) заботы; внимание; агъаз гьубуде проявить заботу; гIагарал чизул агъаз гьубуде заботиться о родственниках"
АГЪА́,АГЪА́,,,"ЗГЬЕЧIАБ беззаботный, беспечный",Саидова 2019 — Андалальский диалект,"ЗГЬЕЧIАБ беззаботный, беспечный"
АГЪА́,АГЪА́,,,"ЗГЬЕЧIУЛЛИ (-ялълъ, -ялълъул) беззаботность, беспечность",Саидова 2019 — Андалальский диалект,"ЗГЬЕЧIУЛЛИ (-ялълъ, -ялълъул) беззаботность, беспечность; агъазгьечIуллиялълъул гIаламат признак беспечности"
АГЪА́,АГЪА́,,,"ЧХУМУЗ (-алълъ, -алълъул, -ал) иск. комуз, чонгур А́ ГЪ/ДЕ (-лама, -ла, -лана, -ле) 1) (по)терять сознание 2) (по)терять, утратить чувствительность 3) (по)терять рассудок; белэр агълун буго голова не соображает;",Саидова 2019 — Андалальский диалект,"ЧХУМУЗ (-алълъ, -алълъул, -ал) иск. комуз, чонгур А́ ГЪ/ДЕ (-лама, -ла, -лана, -ле) 1) (по)терять сознание 2) (по)терять, утратить чувствительность 3) (по)терять рассудок; белэр агълун буго голова не соображает; хин., сал. гIа́ нтде; кд. а́ гълизе А́ ГЪДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. 1) приводить, привести в бессознательное состояние 2) вызывать, вызвать потерю чувствительности 3) (с)делать безрассудным; гъалмагъалалълъ дир белэр агъдубуна от шума моя голова без чувств; кег. а́ гъдебуде, кд. а́ гълизабизе, хин. гIа́ нтдебиде, сал. гIа́ нтдабиде"
АГЪА́,АГЪА́,,,ЛДУЛ род.п. от эгъе́,Саидова 2019 — Андалальский диалект,ЛДУЛ род.п. от эгъе́
АГЪДИ́,АГЪДИ́,,"(-д, -дул, -би)","1) прясло, наконечник веретена; агъди асса бахде снять наконечник веретена;",Саидова 2019 — Андалальский диалект,"(-д, -дул, -би) 1) прясло, наконечник веретена; агъди асса бахде снять наконечник веретена; суг. а́ гъди"
АГЪДИ́КЬЖ/О,АГЪДИ́КЬЖ/О,,"(-од, -одул, -ал)","подставка под веретено, розетка А́ ГЪЛИ (-ялълъ, -ялълъул) 1) безрассудство; белэр агъли утрата способности рассуждать 2) утрата чувствительности; квер агълун буго рука потеряла чувствительность;",Саидова 2019 — Андалальский диалект,"(-од, -одул, -ал) подставка под веретено, розетка А́ ГЪЛИ (-ялълъ, -ялълъул) 1) безрассудство; белэр агъли утрата способности рассуждать 2) утрата чувствительности; квер агълун буго рука потеряла чувствительность; суг. а́ гълъи"
АГЪРА́,АГЪРА́,,,"/Л (-з, -зул) мн.ч. от угъу́ р",Саидова 2019 — Андалальский диалект,"/Л (-з, -зул) мн.ч. от угъу́ р"
АГЬ1,АГЬ,1,,"межд. ай, ах",Саидова 2019 — Андалальский диалект,"межд. ай, ах; агь, дида бугаб хIал! ах, как мне тяжело!"
АГЬ2,АГЬ,2,"(-алълъ, -алълъул)","скорбный вздох, стон",Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул) скорбный вздох, стон; агь бачун пайда гьечIо вздыхать бесполезно"
АГЬ3,АГЬ,3,"(-да́ д, -да́ л)","собир. листья, листва",Саидова 2019 — Андалальский диалект,"(-да́ д, -да́ л) собир. листья, листва; агьдал хесен мешок листьев; агьдада кунаде питаться листьями; агь бетте собрать листья (с дерева); агь бакIарде собирать листву"
